,location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
39,Malaysia,06/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1379630758474743808,862445,534191,328254
40,Malaysia,07/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1380017812836601856,893032,546762,346270
41,Malaysia,08/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1380350649322369025,919721,558750,360971
42,Malaysia,09/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1380716586865152000,941200,565940,375260
43,Malaysia,10/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1381069025602641926,956723,571472,385251
44,Malaysia,11/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1381436328768909313,979794,583903,395891
45,Malaysia,12/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1381803079146823687,1018937,609153,409784
46,Malaysia,13/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1382165809380884484,1050138,632668,417470
47,Malaysia,14/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1382518960067854336,1078695,653531,425164
48,Malaysia,15/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1382876420821635072,1105890,671589,434301
49,Malaysia,16/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1383273817053618178,1125396,687176,438220
50,Malaysia,17/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1383624140498694151,1135015,695729,439286
51,Malaysia,18/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1383973122320203776,1144841,701812,443029
52,Malaysia,19/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1384335240857112595,1177648,726411,451237
53,Malaysia,20/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1384698793979891712,1210779,748444,462335
54,Malaysia,21/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1385130216083894274,1231760,757547,474213
55,Malaysia,22/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1385518722987737090,1260937,771829,489108
56,Malaysia,23/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1385802753025400835,1279737,783987,495750
57,Malaysia,24/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1386163634561110017,1290414,791910,498504
58,Malaysia,25/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1386504500437950464,1305161,800996,504165
59,Malaysia,26/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1386951680781000704,1335245,822201,513044
60,Malaysia,27/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1387284126701547523,1369749,844906,524843
61,Malaysia,28/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1387662034926374912,1409215,871219,537996
62,Malaysia,29/04/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1388035322320093189,1421664,877646,544018
63,Malaysia,01/05/2021,"Pfizer/BioNTech, Sinovac",https://www.vaksincovid.gov.my/statistik/,1434537,883661,550876
64,Malaysia,02/05/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1389094340144734220,1469033,905683,563350
65,Malaysia,03/05/2021,"Pfizer/BioNTech, Sinovac",https://www.vaksincovid.gov.my/statistik/,1500202,914663,585539
66,Malaysia,04/05/2021,"Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1389874935544299525,1569609,960070,609539
67,Malaysia,05/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1390211930694979590,1624272,991906,632366
68,Malaysia,06/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://twitter.com/JKJAVMY/status/1390618862127775744/photo/1,1679765,1028693,651072
69,Malaysia,07/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/149161150508773,1727268,1060773,666495
70,Malaysia,08/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/149903327101222,1754156,1079294,674862
71,Malaysia,09/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/151193296972225,1786459,1105033,681426
72,Malaysia,10/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/151193290305559,1847659,1141502,706157
73,Malaysia,11/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/151644526927102,1896399,1171882,724517
74,Malaysia,12/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.152285653529656/152284063529815/,1914438,1182133,732305
75,Malaysia,13/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.152749686816586/152749243483297/,1914554,1182244,732310
76,Malaysia,14/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.153545020070386/153544786737076/,1914587,1182265,732322
77,Malaysia,15/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.154137950011093/154136950011193/,1925337,1192426,732911
78,Malaysia,16/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.154581016633453/154580813300140/,1935632,1202395,733237
79,Malaysia,17/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.155261869898701/155261593232062,1995893,1234630,761263
80,Malaysia,18/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.155986613159560/155986309826257,2072444,1278981,793463
81,Malaysia,19/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.156499809774907/156499656441589/,2156092,1328703,827389
82,Malaysia,20/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.157274173030804/157274086364146/,2236695,1387452,849243
83,Malaysia,21/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.157760406315514/157760279648860/,2297292,1429371,867921
84,Malaysia,22/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.158301702928051/158301466261408/,2342500,1471449,871051
85,Malaysia,23/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.158991836192371/158991759525712,2388487,1509103,879384
86,Malaysia,24/05/2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://www.facebook.com/jkjavmy/photos/pcb.159385022819719/159384582819763/,2483496,1578225,905271
